"","Test Values: Victim Total","Test Predictions: Victim Total"
"1100",37,27.159345427153
"1114",23,30.8692116644452
"1115",47,36.0170052027161
"1121",64,29.2080748295186
"1122",56,36.2958285462903
"1123",37,39.1986669240312
"1126",69,39.4689676411308
"1127",37,33.8640512765013
"1133",23,34.2062615090806
"1137",23,32.5945038235185
"1139",56,43.2854047619048
"1140",23,28.095751873263
"1147",73,44.671032234527
"1148",73,40.8048777777778
"1149",26,41.0483808913309
"1152",23,30.5433564935065
"1155",23,40.4344234332993
"1156",47,42.9451
"1163",23,37.135465980686
"1165",37,43.0164103153383
"1168",37,36.2068040419484
"1170",69,35.9872666666667
"1172",47,34.3942771068237
"1173",69,42.6759975801975
"1176",23,46.2623619648678
"1177",1,23.2660129688473
"1180",69,38.9385379178275
"1183",23,26.9858534171384
"1209",23,36.8001
"1210",37,47.3816652768284
"1215",47,34.7875238095238
"1219",37,34.1073
"1222",69,34.0273880790502
"1224",24,39.0036666666667
"1226",23,28.915306984127
"1231",37,44.7524233392625
"1236",8,34.3277517171801
"1240",23,28.5882328936936
"1241",56,40.6439651368257
"1243",23,43.37538305544
"1251",37,48.9652735653236
"1252",56,35.3575796670762
"1255",37,37.2292519480519
"1256",23,28.5162060606061
"1258",47,30.386573015873
"1261",23,29.8909692943235
"1270",37,40.9262284190927
"1271",10,35.0438506493507
"1280",47,40.8863761904762
"1281",47,36.5196367604618
"1290",47,41.0216530369219
"1291",49,32.2744326851234
"1293",37,46.8599150793651
"1304",75,55.7372027226875
"1310",64,32.8847641469641
"1311",23,37.8243966810967
"1314",23,36.8469388967242
"1319",64,45.7248333333333
"1321",23,29.697888170253
"1328",50,39.000079963003
"1331",56,41.9315535799168
"1332",69,43.7284597291597
"1338",47,34.7266566877567
"1339",37,34.9396889706661
"1343",23,34.6152932262943
"1347",23,35.3801865463389
"1352",74,42.2783495259642
"1354",37,35.4584162786674
"1356",23,36.7946166666667
"1362",23,40.9460782144756
"1364",47,31.2988631021932
"1365",69,59.6280336103666
"1368",47,29.6037785103785
"1373",19,35.3614404761905
"1374",23,36.8345561178285
"1380",37,35.6734460171838
"1382",37,35.5680600732601
"1384",47,48.1461873015873
"1385",47,41.9781120879121
"1397",23,35.3631636191638
"1400",21,53.5154808377896
"1404",56,42.3695606317384
"1409",37,44.7438592483884
"1411",2,31.7609466637937
"1421",38,42.8550930572228
"1423",34,39.2460428571429
"1433",56,44.6690445054945
"1434",23,42.7564531279178
"1439",64,32.760328623101
"1446",47,31.4317281595994
"1447",23,35.2222344673679
"1448",56,46.7826945054945
"1450",23,42.8820761904762
"1454",1,23.2660129688473
"1456",23,31.0157343808238
"1465",23,36.3393131313131
"1466",47,40.6290377784866
"1468",23,40.6177033673842
"1471",56,48.5597809238883
"1474",23,38.4422156214156
"1475",23,40.6021217619876
"1480",1,23.2660129688473
"1481",23,45.1114151015651
"1483",37,44.555
"1488",17,38.5298677156177
"1489",64,48.2670135238984
"1490",37,39.3862584152108
"1496",23,44.0622009213009
"1499",56,29.4755508746628
"1500",23,28.2820921491125
"1504",23,31.3429237097968
"1506",64,42.7589720284001
"1507",47,36.7549915784452
"1508",37,29.4033832628844
"1511",37,38.1449037372764
"1512",37,37.3249491086876
"1514",23,42.4935790615817
"1515",23,35.9985190852517
"1520",23,33.2456630526961
"1524",6,39.7486857142857
"1525",37,31.3459881855167
"1526",73,39.6735997469478
"1530",23,36.5013439393939
"1536",37,23.2056819561282
"1542",10,42.7246031746032
"1549",37,33.5671333333333
"1552",56,44.3105043809636
"1565",6,47.076471992452
"1570",8,51.2263406025216
"1574",56,49.1359952380952
"1577",23,32.6509848484848
"1582",47,36.8162408024724
"1587",37,39.6539620999439
"1591",47,28.2997616415117
"1595",47,41.1294135601326
"1597",64,50.3496207903208
"1601",23,28.7153601406915
"1604",23,37.9858784878864
"1605",74,43.4055684491979
"1606",47,38.72
"1608",56,44.6358125596626
"1612",37,31.1224201292097
"1625",23,37.148219047619
"1632",23,30.8692116644452
"1642",37,34.7151083975622
"1643",23,32.2765627160851
"1647",56,45.7083308802309
"1650",47,49.1470558182384
"1652",23,38.0847656893107
"1653",47,45.8574517412412
"1658",37,32.2744326851234
"1660",56,33.2793873205002
"1662",47,49.4389434721409
"1663",23,52.7420682539682
"1671",23,44.9762036907537
"1677",23,29.8235007251406
"1679",37,33.3174526120079
"1680",23,31.0164899048011
"1684",37,40.1359333333333
"1685",1,23.2660129688473
"1687",23,27.7556630758131
"1696",23,45.8833972440571
"1699",64,36.95255
"1700",23,26.7831579365079
"1701",56,27.910664228624
"1703",23,36.9222642833296
"1705",37,33.8704048247025
"1708",23,36.0797112280519
"1714",64,39.4964592903828
"1715",3,35.1718218442669
"1717",56,42.0682761904762
"1721",37,40.8170394321365
"1722",23,39.1564838612135
"1725",5,31.5209709758399
"1728",37,44.3557912698412
"1731",56,48.4154626984127
"1736",8,34.050731024531
"1737",2,7.02231847041847
"1738",47,37.8299978070296
"1741",47,26.9961523809524
"1742",37,26.6537881948381
"1754",23,50.6259003904592
"1756",15,23.1177512987013
"1757",2,12.0808325674326
"1763",47,53.7792817963732
"1767",32,41.2929416412144
"1771",56,34.6701288555889
"1773",23,32.2598038206357
"1777",47,44.9343254113089
"1779",56,44.6138603609225
"1781",64,35.1521573175844
"1788",37,35.9425666666667
"1789",37,26.2385188907861
"1790",37,41.3056199134199
"1791",37,31.1921175293175
"1792",47,25.8197247713702
"1793",37,28.9038575995324
"1796",47,35.3129635756057
"1799",23,30.5476803945728
"1803",23,41.5211878638603
"1809",23,44.1341051859819
"1810",2,36.9056070782975
"1811",47,43.8775479207067
"1814",47,39.2378292983873
"1817",37,26.5863334613527
"1820",37,46.2255352203352
"1822",69,47.1005238095238
"1825",23,33.6787367581471
"1832",47,49.1470558182384
"1834",47,49.1470558182384
"1837",23,36.9310555672026
"1843",23,28.2820921491125
"1847",23,39.9726336415307
"1853",23,31.0608291911626
"1855",23,30.8692116644452
"1857",23,41.985544949495
"1859",23,43.135226984127
"1863",23,40.1380569727447
"1866",37,37.912867305863
"1868",69,38.4590813513284
"1869",23,32.456632269131
"1870",74,42.4034138227879
"1873",23,33.0892078013547
"1877",56,31.4646463203463
"1878",37,31.637176742865
"1879",56,52.1309447458634
"1887",23,40.8656444159985
"1892",23,41.031280952381
"1895",23,36.670965984543
"1897",1,23.2660129688473
"1902",37,34.7822868409368
"1903",23,34.2801485859551
"1905",56,45.1508508287784
"1906",64,45.1543206349206
"1907",23,36.1286102124999
"1908",64,42.4920699385791
"1909",47,38.9074933389013
"1910",23,37.7472659479409
"1914",56,34.9707154761905
"1920",74,31.5042369226852
"1923",6,34.7724970049558
"1925",47,50.1645716035999
"1930",23,27.4498074888293
"1932",47,39.1453519906156
"1933",69,42.3886222222222
"1937",64,30.1476530168069
"1938",23,28.5018417246204
"1939",23,28.799373222237
"1942",69,29.5462138741611
"1943",69,44.3265045751634
"1945",47,40.3651629390218
"1946",47,34.5094047583136
"1954",23,32.3263567251462
"1957",37,37.7089427017427
"1958",23,33.9767857431857
"1961",23,38.3327333333333
"1966",47,37.3348407478143
"1967",73,45.4348534938639
"1975",37,26.9170887283926
"1976",56,57.0830269738517
"1982",56,34.3473764608974
"1984",23,30.8219720050647
"1986",64,34.3469802475302
"1992",64,44.3698387882208
"1993",19,43.1966561904762
"1998",17,28.3662016850985
"2002",74,37.6999659340659
"2007",23,51.4099977842336
"2008",1,23.2660129688473
"2009",23,30.587192368993
"2012",74,49.9751666666667
"2018",23,42.3489910907136
"2019",37,21.1246858363973
"2020",69,39.1453519906156
"2021",37,37.0123398225957
"2026",24,34.8330937601786
"2040",23,32.6353794871795
"2042",23,34.8195311136722
"2045",23,42.5429780461936
"2046",47,36.5164912837163
"2047",37,39.8546587884338
"2049",47,42.4446341503268
"2052",37,37.8183840479782
"2055",23,28.4153390381268
"2058",23,32.8470159274059
