"","Test Values: Victim Total","Test Predictions: Victim Total"
"3366",37,33.9471797807624
"3371",37,33.5140215007215
"3378",37,36.1620122710623
"3381",73,48.5851753811772
"3385",69,36.750385514812
"3386",23,42.5868767676768
"3395",23,28.828025758703
"3396",56,45.5716760728735
"3397",23,34.4217356251592
"3398",37,47.2791204160133
"3400",47,40.6782177592531
"3402",47,37.0225677573863
"3411",23,37.1303537415746
"3416",23,38.2162998168498
"3417",37,42.7617552191817
"3421",73,41.9778315299736
"3424",37,42.428545402839
"3425",37,30.7170638104414
"3432",37,35.9935140784712
"3434",6,46.0415460816961
"3437",23,38.1230834760585
"3438",23,44.8818928267619
"3443",8,32.6676718764895
"3446",2,27.6587011880196
"3447",23,41.5909794760795
"3451",37,26.7603778265424
"3452",23,28.4508815179841
"3454",47,38.2805993717848
"3459",37,26.6288241153408
"3460",64,42.2645272957349
"3468",37,42.4609265096015
"3471",23,36.6754534370846
"3474",22,36.3376238095238
"3476",37,39.4630687950938
"3480",37,41.3003345744677
"3482",37,30.8190491824024
"3483",73,55.6515166666667
"3487",2,61.3586877759356
"3489",23,31.0454342894515
"3492",23,32.6278666876057
"3495",47,36.0448548340548
"3496",29,33.6000666666667
"3497",23,46.9539619047619
"3498",37,34.2941664198375
"3499",56,36.8013834055158
"3502",73,40.8522757601733
"3504",23,38.2330476190476
"3510",37,31.2229392177171
"3520",37,35.6055232591482
"3524",64,42.6409240569372
"3526",23,25.2063686546787
"3531",37,27.9757327039391
"3533",47,45.6318168924764
"3534",47,39.2631199217449
"3536",37,37.081305516208
"3538",47,34.6674430465643
"3539",15,31.7640409647662
"3550",29,29.1470206784035
"3556",26,34.2254523809524
"3561",64,43.0382164835165
"3567",37,30.6936923243423
"3568",23,40.665050454902
"3585",37,47.5445690870567
"3590",37,34.3565711942901
"3591",37,41.815437742323
"3592",23,30.6719537940536
"3598",23,34.5557585137085
"3604",56,44.924745382196
"3607",37,37.788775974026
"3612",26,34.196520347947
"3617",47,36.396443162727
"3621",47,30.4919966089466
"3623",73,42.721895600295
"3624",23,28.8085549128295
"3628",23,45.8597111111111
"3630",23,37.0158520365857
"3633",56,51.4368184459031
"3646",23,22.9430883364433
"3647",37,24.1802787768664
"3662",37,30.8794145360049
"3664",23,48.5597809238883
"3669",37,42.0514222373497
"3672",69,51.1653161990954
"3673",69,51.1653161990954
"3684",2,40.9846642496392
"3685",2,41.7106569975184
"3690",56,36.0444556130144
"3692",47,39.7005666944294
"3694",23,38.6570483253973
"3696",47,41.9118416666667
"3697",37,33.7370736927771
"3699",37,37.2995616767793
"3700",23,30.0804252982193
"3705",73,45.7340513373201
"3706",23,36.4210576662801
"3709",56,33.9242865922433
"3710",47,43.2157171106671
"3726",23,27.3703249269074
"3728",23,26.4675117604618
"3729",23,27.7479136083484
"3730",23,29.2397867488067
"3731",23,32.85756169134
"3732",17,38.6441904761905
"3733",39,43.4335359307359
"3734",47,37.1652961740322
"3736",23,49.943968973219
"3737",64,40.669651166576
"3743",64,37.9420606819242
"3746",8,46.565193939394
"3748",73,41.757019047619
"3751",37,35.8649731601732
"3758",37,33.7798619047619
"3763",23,36.101438220317
"3766",23,34.0428835204895
"3772",23,38.3060425892192
"3774",56,46.6065858127837
"3784",17,30.7086285714286
"3785",64,51.0793525974026
"3790",37,46.045077011877
"3792",8,33.8311740926067
"3795",23,39.5637598771598
"3797",37,26.7791026167065
"3799",69,34.2778946610402
"3801",69,42.3669698717949
"3803",47,59.6280336103666
"3805",23,30.007437987402
"3807",47,21.3115595440622
"3814",23,33.566196475945
"3815",23,31.0367053971776
"3816",23,33.7794619047619
"3817",56,37.9658484432234
"3822",23,34.828902179883
"3828",15,37.1299685195154
"3838",6,41.4541423520923
"3842",47,30.4626592596292
"3843",1,31.1908772256729
"3863",56,28.1370645988044
"3865",23,27.3158162903436
"3871",37,33.8824898122563
"3873",23,36.0797112280519
"3876",23,47.588191486234
"3877",47,38.9256433344433
"3878",74,29.8214201465202
"3884",23,33.3731994227994
"3887",47,35.9113304233462
"3889",23,27.8164354219854
"3890",23,31.0383610782603
"3892",56,28.75632375564
"3897",19,37.0896556324721
"3905",37,39.4346222222222
"3906",37,29.0584735375735
"3910",37,42.7656880952381
"3914",23,38.8105777777778
"3915",23,30.8190491824024
"3925",37,49.7645876191442
"3931",37,40.6307672161172
"3932",56,36.2834666666667
"3935",37,28.4153390381268
"3937",37,41.6703631657885
"3940",47,40.6177033673842
"3941",37,28.6108755565735
"3943",37,32.8699392024642
"3953",23,38.8546323308271
"3955",23,34.1265008899737
"3956",23,36.435876503158
"3957",23,34.3190355932165
"3958",23,41.4176333333333
"3960",23,28.6373063492063
"3963",37,31.2564233114041
"3968",47,32.1738358840365
"3975",23,22.9430883364433
"3979",23,34.842930663787
"3985",23,41.325438164931
"3987",37,40.7264714285714
"3988",37,29.1589799796177
"3998",23,38.5710537254412
"4000",23,33.8193454778949
"4002",37,28.7532822344322
"4004",23,40.5544736529585
"4006",23,30.8692116644452
"4020",37,37.3615937932749
"4021",73,42.6079801587302
"4022",37,46.5234252857082
"4023",1,23.2660129688473
"4026",23,29.8725395400664
"4029",23,41.6970627407878
"4040",69,40.4950214152145
"4041",47,48.8299839096126
"4058",37,41.0873030557678
"4059",37,41.0296947130647
"4062",23,38.9400902357305
"4070",69,56.801852020202
"4073",23,31.7474690053373
"4074",37,47.7011461149962
"4078",3,24.3579134920635
"4082",64,29.1589799796177
"4092",23,31.3203729606994
"4093",37,50.0812150793651
"4096",23,44.857387726893
"4098",21,30.125938704842
"4105",2,47.1950125758711
"4109",37,40.317317058595
"4110",64,34.6073293592741
"4113",23,30.3151474831402
